name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
1: Alien;Ridley Scott;117;25.05.1979;Jerry Goldsmith;11;154;98;94;38,7492525;542,489535;Alien
2: Aliens;James Cameron;137;18.07.1986;James Horner;18,5;157;97;94;43,15050103;366,1961438;Alien
3: Alien 3;David Fincher;114;22.05.1992;Elliot Goldenthal;55;167;43;47;100,2100131;304,2740397;Alien
4: Alien Resurrection;Jean-Pierre Jeunet;109;26.11.1997;John Frizzell;70;161,4;54;39;111,489918;257,0638966;Alien
5: Prometheus;Ridley Scott;124;11.04.2012;Marc Streitenfeld;125;403,4;73;68;139,1897724;449,1932334;Alien
6: Alien: Covenant;Ridley Scott;122;04.05.2017;Jed Kurzel;104;240,9;65;55;108,4706593;251,2555944;Alien
1: American Pie;Paul Weitz;95;09.07.1999;David Lawrence;11;235,5;61;61;16,88264746;361,4421342;American Pie
2: American Pie 2;James B. Rogers;100;10.08.2001;David Lawrence;30;287,6;52;68;43,31538027;415,2501122;American Pie
3: American Wedding;Jesse Dylan;96;01.08.2003;Christophe Beck;55;231,5;54;63;76,43652095;321,7282655;American Pie
4: American Reunion;Jon Hurwitz;113;06.04.2012;Lyle Workman;50;235;45;63;55,67590895;261,6767721;American Pie
1: The Avengers;Joss Whedon;143;11.04.2012;Alan Silvestri;220;1519;91;91;244,9739994;1691,434114;The Avengers
2: Avengers: Age of Ultron;Joss Whedon;141;13.04.2015;Bryan Tyler;470;1403;76;83;506,9627495;1513,337739;The Avengers
3: Avengers: Infinity War;Russo brothers;149;23.04.2018;Alan Silvestri;358;2048;85;91;364,4868761;2085,10928;The Avengers
4: Avengers: Endgame;Russo brothers;181;22.04.2019;Alan Silvestri;356;2798;94;90;356;2798;The Avengers
1: The Bourne Identity;Doug Liman;119;14.06.2002;John Powell;60;214;83;93;85,27822099;304,1589882;Jason Bourne
2: The Bourne Supremacy;Paul Greengrass;108;23.07.2004;John Powell;75;290,6;82;90;101,5138533;393,3323438;Jason Bourne
3: The Bourne Ultimatum;Paul Greengrass;115;25.07.2007;John Powell;110;444,1;92;91;135,6320161;547,5834396;Jason Bourne
4: The Bourne Legacy;Tony Gilroy;135;30.07.2012;James Newton Howard;125;276,1;55;58;139,1897724;307,4423692;Jason Bourne
5: Jason Bourne;Paul Greengrass;123;11.07.2016;John Powell;120;415,5;54;55;127,8247718;442,5932723;Jason Bourne
1: Batman Begins;Christopher Nolan;140;31.05.2005;Hans Zimmer;150;373,6;84;94;196,3655217;489,0810593;The Dark Knight
2: The Dark Knight;Christopher Nolan;152;14.07.2008;Hans Zimmer;185;1005;94;94;219,6748528;1193,368795;The Dark Knight
3: The Dark Knight Rises;Christopher Nolan;165;16.07.2012;Hans Zimmer;275;1081;87;90;306,2174992;1203,713152;The Dark Knight
1: The Fast and the Furious;Rob Cohen;106;22.06.2001;BT ;38;207,3;53;74;54,86614834;299,3092777;The Fast And The Furious
2: 2 Fast 2 Furious;John Singleton;108;06.06.2003;David Arnold;76;236,3;36;50;105,6213744;328,3990891;The Fast And The Furious
3: The Fast and the Furious: Tokyo Drift;Justin Lin;104;16.06.2006;Brian Tyler;85;159;36;69;107,7963457;201,6425762;The Fast And The Furious
4: Fast & Furious;Justin Lin;107;12.03.2009;Brian Tyler;85;363,2;28;67;101,2918284;432,8140246;The Fast And The Furious
5: Fast Five;Justin Lin;130;15.04.2011;Brian Tyler;125;626,1;77;83;142,0700782;711,6006077;The Fast And The Furious
6: Fast & Furious 6;Justin Lin;130;07.05.2013;Lucas Vidal;160;788,7;70;84;175,5907973;865,5528865;The Fast And The Furious
7: Furious 7;James Wan;137;01.04.2015;Brian Tyler;190;1516;81;82;204,9423881;1635,224528;The Fast And The Furious
